,PRODUCT_ID,CATEGORY,BRAND,PRODUCT_DESCRIPTION,FORM,SIZE_VALUE,UOM,PRICE_GROUP,SLOPE_GROUP,RETAILER,L52W_VOLUME,L52W_BASE_PRICE,L52W_LIST_PRICE,L52W_MAP,COGS,OWN_PRICE_ELASTICITY,List_Product_Imp_Score2,Price_Strategy,Expected_Margin_Var,Expected_Units_Var,Expected_Sales_Var,S_Price_Final,BP_LP_Ratio,PromoRatio,S_Discount2,LIST_GROUP_Proxy_PRICE,GROUP_Proxy_Product_Imp,Price_Group_Retailer,Suggested_LP,Suggested_BP,Suggested_MAP,ActualMapPErUnit,New_Map_per_Unit,AnchorPromoPrice,ActualMapPErUnit_ANCHOR,New_Map_ANCHOR,New_Anchor_MAP_per_unit,NewSlope,MIN_MAP_PER_UNIT_RATIO,MAX_MAP_PER_UNIT_RATIO,Price_Variation,scenario,Price_Strategy_Price_Group,Price_Group_Elasticity
0,A001,ANALGESICS,ADVIL,ADVIL CAPLET 24 CT,CAPLET,24,CT,ADVIL_24CT,ADVIL_CAPLET_SLOPE,Walmart Corp-RMA,4933,4.44,3.1,3.95,1.69,-0.57,2.3175987339221376,Low Elast + Price Investment Room,-175.03468070577583,42.94337674254166,-102.46037401088506,3.1265098028822806,1.4322580645161291,0.8896396396396397,0.044522728553818336,3.175,2.091492674566183,ADVIL_24CT_Walmart Corp-RMA,3.052655240609471,4.37219008655034,3.8896736130346494,0.16458333333333333,0.16206973387644355,3.95,0.16458333333333333,3.8896736130346596,0.16206973387644355,1.0,0.97,1.03,-0.01527250302920291,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + No Price Investment Room,-0.6025
1,A001,ANALGESICS,ADVIL,ADVIL CAPLET 24 CT,CAPLET,24,CT,ADVIL_24CT,ADVIL_CAPLET_SLOPE,Target Corp-RMA,2793,4.71,3.11,4.23,1.11,-0.52,1.34777150977368,Low Elast + No Price Investment Room,-316.5619171698763,76.38426581650424,-231.77538211355386,3.0885461548363993,1.5144694533762058,0.8980891719745224,-0.05921003084175003,3.26,1.6276423835986602,ADVIL_24CT_Target Corp-RMA,2.9464351354420866,4.462286008981423,4.007530746919623,0.17625000000000002,0.16698044778831755,4.23,0.17625000000000002,4.007530746919627,0.16698044778831755,1.0,0.97,1.03,-0.05259320403791423,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + Price Investment Room,-0.5900000000000001
2,A001,ANALGESICS,ADVIL,ADVIL CAPLET 24 CT,CAPLET,24,CT,ADVIL_24CT,ADVIL_CAPLET_SLOPE,Kroger Corp-RMA,2168,4.71,2.9,3.96,1.15,-0.52,1.371562945221906,Low Elast + No Price Investment Room,-203.9356367404862,51.50647608597433,-144.70318924161165,3.103900782829231,1.6241379310344828,0.8407643312101911,-0.04229340418126082,3.2525,1.7194960653489135,ADVIL_24CT_Kroger Corp-RMA,2.7675056941444334,4.49481097221389,3.77907674096964,0.165,0.15746153087373507,3.96,0.165,3.7790767409696335,0.15746153087373507,1.0,0.97,1.03,-0.045687691674333286,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + Price Investment Room,-0.6875
3,A001,ANALGESICS,ADVIL,ADVIL CAPLET 24 CT,CAPLET,24,CT,ADVIL_24CT,ADVIL_CAPLET_SLOPE,Albertsons Corp-RMA,1730,5.2,3.27,4.48,1.64,-0.47,2.0082973870761758,Low Elast + Price Investment Room,-36.50919539505139,6.817947301640402,-25.327761820361047,3.552460280152351,1.5902140672782874,0.8615384615384616,0.06108300919106502,3.5825,2.1840977760340223,ADVIL_24CT_Albertsons Corp-RMA,3.242580632546598,5.156397336159728,4.442434628076073,0.18666666666666668,0.18510144283650298,4.48,0.18666666666666668,4.4424346280760805,0.18510144283650298,1.0,0.97,1.03,-0.00838512766159083,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + No Price Investment Room,-0.635
4,A001,ANALGESICS,ADVIL,ADVIL CAPLET 24 CT,CAPLET,24,CT,ADVIL_24CT,ADVIL_CAPLET_SLOPE,CVS Corp-RMA,1367,5.24,3.51,4.53,1.6,-0.45,2.1124946690898305,Low Elast + Price Investment Room,-24.75739159836121,4.186314760001778,-18.05928798235982,3.6822691425299507,1.492877492877493,0.8645038167938931,0.06450046122111641,3.7075,2.2066787339448863,ADVIL_24CT_CVS Corp-RMA,3.4861132003452804,5.204339934418596,4.499171737197756,0.18875,0.1874654890499064,4.53,0.18875,4.49917173719775,0.1874654890499064,1.0,0.97,1.03,-0.006805356026985621,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + No Price Investment Room,-0.6725
5,A002,ANALGESICS,ADVIL,ADVIL CAPLET 40 CT,CAPLET,40,CT,ADVIL_40CT,ADVIL_CAPLET_SLOPE,Walmart Corp-RMA,2926,6.51,4.7,6.02,2.13,-0.8,2.260249043589581,Low Elast + Price Investment Room,-358.925240523713,102.24910724446954,-141.13464209299127,4.8318004039846665,1.3851063829787233,0.9247311827956989,-0.036938674900746093,5.0525,1.7449148940108128,ADVIL_40CT_Walmart Corp-RMA,4.494698050218295,6.2256349589193825,5.7570387792157725,0.1505,0.14392596948039435,3.95,0.16458333333333333,3.8896736130346596,0.16206973387644355,0.8880496440508665,0.8847,0.9447,-0.04368126591100119,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + Price Investment Room,-0.7475
6,A002,ANALGESICS,ADVIL,ADVIL CAPLET 40 CT,CAPLET,40,CT,ADVIL_40CT,ADVIL_CAPLET_SLOPE,Target Corp-RMA,1806,7.27,5.05,6.45,2.71,-0.86,2.537166010289143,Low Elast + Price Investment Room,-83.39301065077598,23.118103340490734,-20.74295059805081,5.413209342336924,1.4396039603960396,0.8872077028885833,0.04552173052794006,5.495,2.0965047058587,ADVIL_40CT_Target Corp-RMA,4.9748329715744255,7.161789248187341,6.3539945874564445,0.16125,0.15884986468641132,4.23,0.17625000000000002,4.007530746919627,0.16698044778831755,0.9513081728454015,0.8847,0.9447,-0.014884560084272191,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + No Price Investment Room,-0.73
7,A002,ANALGESICS,ADVIL,ADVIL CAPLET 40 CT,CAPLET,40,CT,ADVIL_40CT,ADVIL_CAPLET_SLOPE,Kroger Corp-RMA,2122,7.16,4.9,6.04,1.97,-0.77,1.8521800184053123,Low Elast + No Price Investment Room,-173.49030919395045,48.474443395893104,-77.99565570404047,5.140337947605336,1.4612244897959183,0.8435754189944134,0.003702398717297495,5.2975,1.9148163673173944,ADVIL_40CT_Kroger Corp-RMA,4.754630664137074,6.947582766371724,5.8608100431403924,0.151,0.14652025107850974,3.96,0.165,3.7790767409696335,0.15746153087373507,0.930514585152872,0.8847,0.9447,-0.02966721140059725,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + No Price Investment Room,-0.735
8,A002,ANALGESICS,ADVIL,ADVIL CAPLET 40 CT,CAPLET,40,CT,ADVIL_40CT,ADVIL_CAPLET_SLOPE,Albertsons Corp-RMA,1767,7.57,5.22,6.83,1.92,-0.75,1.6903466526535702,Low Elast + No Price Investment Room,-140.96968478083545,37.03982119987654,-69.85322807707234,5.58443122218955,1.450191570881226,0.9022457067371202,0.008815764689637184,5.745,1.9353548392540694,ADVIL_40CT_Albertsons Corp-RMA,5.074104609195727,7.358423734025221,6.639106222376785,0.17075,0.16597765555941943,4.48,0.18666666666666668,4.4424346280760805,0.18510144283650298,0.896684828686207,0.8847,0.9447,-0.02794930858319411,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + No Price Investment Room,-0.705
9,A002,ANALGESICS,ADVIL,ADVIL CAPLET 40 CT,CAPLET,40,CT,ADVIL_40CT,ADVIL_CAPLET_SLOPE,CVS Corp-RMA,1495,7.75,5.12,6.91,2.54,-0.75,2.2158537122803117,Low Elast + Price Investment Room,-166.1165914443045,37.59699936031484,-70.62021306909537,5.465380351052312,1.513671875,0.8916129032258064,-0.007819049589543936,5.655,1.8686598284837252,ADVIL_40CT_CVS Corp-RMA,4.948319610501828,7.490132222927572,6.678298536829616,0.17275000000000001,0.16695746342074058,4.53,0.18875,4.49917173719775,0.1874654890499064,0.8906037280082723,0.8847,0.9447,-0.03353132607386167,1 - Following the Brief Specs Model Type: SLSQP,Low Elast + Price Investment Room,-0.7475
